date,action,strategy,price,amount_usd,btc,reason,amount_btc,cash_received
2025-08-30,BUY,DCA,108816.33,1000.0,0.009189797156364306,DCA: F&G 39 (Fear Threshold: 40),,
2025-09-26,BUY,DCA,109643.46,1000.0,0.009120471024901987,DCA: F&G 28 (Fear Threshold: 40),,
2025-09-27,BUY,DCA,109635.85,1000.0,0.009121104091408056,DCA: F&G 33 (Fear Threshold: 40),,
2025-09-28,BUY,DCA,112163.95,1000.0,0.00891552053935333,DCA: F&G 37 (Fear Threshold: 40),,
2025-10-11,BUY,DCA,110644.4,1000.0,0.009037963060037381,DCA: F&G 27 (Fear Threshold: 40),,
2025-10-12,BUY,DCA,114958.8,1000.0,0.008698768602316656,DCA: F&G 24 (Fear Threshold: 40),,
2025-10-13,BUY,DCA,115166.0,1000.0,0.00868311828143723,DCA: F&G 38 (Fear Threshold: 40),,
2025-10-14,BUY,DCA,113028.14,1000.0,0.008847354296018673,DCA: F&G 38 (Fear Threshold: 40),,
2025-10-15,BUY,DCA,110763.28,1000.0,0.009028262796117991,DCA: F&G 34 (Fear Threshold: 40),,
2025-10-16,BUY,DCA,108194.28,1000.0,0.009242632789829555,DCA: F&G 28 (Fear Threshold: 40),,
2025-11-13,SELL,STOP_LOSS,99692.02,,,"Stop-Loss: $99,692 < $99,905 (Loss: 7.9%, ATR: $4,144)",0.08988499263778515,8960.816483745932
2025-11-14,BUY,DCA,94594.0,1000.0,0.010571495020825845,DCA: F&G 16 (Fear Threshold: 40),,
2025-11-15,BUY,DCA,95596.24,1000.0,0.010460662469569932,DCA: F&G 10 (Fear Threshold: 40),,
2025-11-16,BUY,DCA,94261.44,1000.0,0.010608791887753889,DCA: F&G 10 (Fear Threshold: 40),,
2025-11-17,BUY,DCA,92215.14,1000.0,0.010844206276756724,"DCA: RSI 29, F&G 14 (Fear Threshold: 40)",,
2025-11-18,BUY,DCA,92960.83,1000.0,0.010757218927584876,DCA: F&G 11 (Fear Threshold: 40),,
2025-11-19,BUY,DCA,91554.96,1000.0,0.010922401145716189,"DCA: RSI 29, F&G 15 (Fear Threshold: 40)",,
2025-11-20,BUY,DCA,86637.23,1000.0,0.011542381952885613,"DCA: RSI 24, F&G 11 (Fear Threshold: 40)",,
2025-11-21,BUY,DCA,85129.43,1000.0,0.01174681893206615,"DCA: RSI 23, F&G 14 (Fear Threshold: 40)",,
