Date,hash_rate,mempool_size,block_size
2009-01-03,4.97102696296296e-08,,
2009-01-07,0.0,,
2009-01-11,5.26928858074074e-06,,
2009-01-15,6.31320424296296e-06,,
2009-01-17,,,0.000215853211009174
2009-01-19,5.91552208592593e-06,,
2009-01-21,,,0.000230456310679612
2009-01-23,3.33058806518518e-06,,
2009-01-25,,,0.000217
2009-01-27,5.12015777185185e-06,,
2009-01-29,,,0.000227256198347107
2009-01-31,6.41262478222222e-06,,
2009-02-02,,,0.00021709375
2009-02-04,6.11436316444444e-06,,
2009-02-06,,,0.000215836065573771
2009-02-08,6.66117613037037e-06,,
2009-02-10,,,0.000215666666666667
2009-02-12,5.8658118162963e-06,,
2009-02-14,,,0.000215786764705882
2009-02-16,6.11436316444444e-06,,
2009-02-18,,,0.000215940677966102
2009-02-20,6.36291451259259e-06,,
2009-02-22,,,0.000228545454545455
2009-02-24,5.51783992888889e-06,,
2009-02-26,,,0.00021596261682243
2009-02-28,5.07044750222222e-06,,
2009-03-02,,,0.000215962962962963
2009-03-04,5.26928858074074e-06,,
2009-03-06,,,0.000215923076923077
2009-03-08,5.56755019851852e-06,,
2009-03-10,,,0.000215971962616822
2009-03-12,5.8658118162963e-06,,
2009-03-14,,,0.000215790909090909
2009-03-16,6.46233505185185e-06,,
2009-03-18,,,0.000230710526315789
2009-03-20,5.8658118162963e-06,,
2009-03-22,,,0.000227228813559322
2009-03-24,5.21957831111111e-06,,
2009-03-26,,,0.000243606837606838
2009-03-28,5.91552208592593e-06,,
2009-03-30,,,0.00021585
2009-04-01,5.31899885037037e-06,,
2009-04-03,,,0.000215948275862069
2009-04-05,6.41262478222222e-06,,
2009-04-07,,,0.00021599
2009-04-09,4.92131669333333e-06,,
2009-04-11,,,0.000223333333333333
2009-04-13,5.71668100740741e-06,,
2009-04-15,,,0.000215743362831859
2009-04-17,5.71668100740741e-06,,
2009-04-19,,,0.000224
2009-04-21,6.11436316444444e-06,,
2009-04-23,,,0.00021568
2009-04-25,6.06465289481481e-06,,
2009-04-27,,,0.000215894230769231
2009-04-29,6.11436316444444e-06,,
2009-05-01,,,0.000215876033057851
2009-05-03,5.66697073777778e-06,,
2009-05-05,,,0.000224666666666667
2009-05-07,6.01494262518519e-06,,
2009-05-09,,,0.000215493506493506
2009-05-11,5.91552208592593e-06,,
2009-05-13,,,0.000225774774774775
2009-05-15,7.10856855703704e-06,,
2009-05-17,,,0.00021596062992126
2009-05-19,4.97102696296296e-06,,
2009-05-21,,,0.000215963414634146
2009-05-23,3.47971887407407e-07,,
2009-05-25,,,0.000215954128440367
2009-05-27,6.2137837037037e-06,,
2009-05-29,,,0.00028083962264151
2009-05-31,5.8658118162963e-06,,
2009-06-02,,,0.000215909090909091
2009-06-04,1.93870051555556e-06,,
2009-06-06,,,0.000215296296296296
2009-06-08,3.57913941333333e-06,,
2009-06-10,,,0.000215926829268292
2009-06-12,4.5236345362963e-06,,
2009-06-14,,,0.000215694444444444
2009-06-16,3.62884968296296e-06,,
2009-06-18,,,0.0002158125
2009-06-20,4.17566264888889e-06,,
2009-06-22,,,0.000306381578947368
2009-06-24,4.22537291851852e-06,,
2009-06-26,,,0.0002156
2009-06-28,2.53522375111111e-06,,
2009-06-30,,,0.000221047058823529
2009-07-02,3.57913941333333e-06,,
2009-07-04,,,0.000215876404494382
2009-07-06,4.5236345362963e-06,,
2009-07-08,,,0.000215986486486486
2009-07-10,4.07624210962963e-06,,
2009-07-12,,,0.000215792207792208
2009-07-14,3.57913941333333e-06,,
2009-07-16,,,0.000215859154929577
2009-07-18,1.49130808888889e-07,,
2009-07-20,,,0.0004147
2009-07-22,3.43000860444444e-06,,
2009-07-24,,,0.000215931506849315
2009-07-26,6.46233505185185e-07,,
2009-07-28,,,0.000215707317073171
2009-07-30,6.95943774814815e-07,,
2009-08-01,,,0.000215821428571429
2009-08-03,7.45654044444445e-07,,
2009-08-05,,,0.000215724137931034
2009-08-07,3.67855995259259e-06,,
2009-08-09,,,0.000216
2009-08-11,3.33058806518518e-06,,
2009-08-13,,,0.000215764705882353
2009-08-15,1.69014916740741e-06,,
2009-08-17,,,0.000215823529411765
2009-08-19,7.45654044444445e-07,,
2009-08-21,,,0.000215
2009-08-23,5.96523235555555e-07,,
2009-08-25,,,0.000215666666666666
2009-08-27,1.49130808888889e-06,,
2009-08-29,,,0.000215807692307692
2009-08-31,4.67276534518518e-06,,
2009-09-02,,,0.000215846153846154
2009-09-04,3.13174698666667e-06,,
2009-09-06,,,0.00021585294117647
2009-09-08,3.28087779555556e-06,,
2009-09-10,,,0.000215805970149253
2009-09-12,3.5294291437037e-06,,
2009-09-14,,,0.000215851351351351
2009-09-16,2.88319563851852e-06,,
2009-09-18,,,0.000215807692307692
2009-09-20,3.92711130074074e-06,,
2009-09-22,,,0.000392730769230769
2009-09-24,4.07624210962963e-06,,
2009-09-26,,,0.00021546
2009-09-28,4.37450372740741e-06,,
2009-09-30,,,0.000215764705882353
2009-10-02,3.72827022222222e-06,,
2009-10-04,,,0.000215679245283019
2009-10-06,2.03812105481482e-06,,
2009-10-08,,,0.000215471428571428
2009-10-10,3.82769076148148e-06,,
2009-10-12,,,0.000364379310344828
2009-10-14,2.78377509925926e-06,,
2009-10-16,,,0.000372516666666667
2009-10-18,3.1814572562963e-06,,
2009-10-20,,,0.000338
2009-10-22,4.27508318814815e-06,,
2009-10-24,,,0.000230193548387097
2009-10-26,3.23116752592593e-06,,
2009-10-28,,,0.000215671641791045
2009-10-30,3.03232644740741e-06,,
2009-11-01,,,0.00021528
2009-11-03,2.83348536888889e-06,,
2009-11-05,,,0.000215465517241379
2009-11-07,3.77798049185185e-06,,
2009-11-09,,,0.0002156875
2009-11-11,3.43000860444444e-06,,
2009-11-13,,,0.00023845
2009-11-15,4.77218588444444e-06,,
2009-11-17,,,0.000215663043478261
2009-11-19,3.62884968296296e-06,,
2009-11-21,,,0.000215712328767123
2009-11-23,4.77218588444444e-06,,
2009-11-25,,,0.000215644444444444
2009-11-27,3.72827022222222e-06,,
2009-11-29,,,0.000215683333333333
2009-12-01,3.28087779555556e-06,,
2009-12-03,,,0.000215784090909091
2009-12-05,2.58493402074074e-06,,
2009-12-07,,,0.000215642857142857
2009-12-09,4.67276534518518e-06,,
2009-12-11,,,0.000215348214285714
2009-12-13,5.16986804148148e-06,,
2009-12-15,,,0.000226945454545455
2009-12-17,8.00335341037037e-06,,
2009-12-19,,,0.000216717171717172
2009-12-21,9.29582042074074e-06,,
2009-12-23,,,0.000215675324675325
2009-12-25,7.80451233185185e-06,,
2009-12-27,,,0.000219796407185629
2009-12-29,8.15248421925926e-06,,
2009-12-31,,,0.000215695652173913
2010-01-02,7.6442931234091e-06,,
2010-01-04,,,0.000269044198895028
2010-01-06,9.29075625768183e-06,,
2010-01-08,,,0.000215758169934641
2010-01-10,1.12312306659318e-05,,
2010-01-12,,,0.000372012578616352
2010-01-14,1.02502484902837e-05,,
2010-01-16,,,0.00022228
2010-01-18,8.4337487578284e-06,,
2010-01-20,,,0.000215449367088608
2010-01-22,9.73124856672508e-06,,
2010-01-24,,,0.000216701298701299
2010-01-26,1.34980007194616e-05,,
2010-01-28,,,0.000229564971751413
2010-01-30,1.20279214331836e-05,,
2010-02-01,,,0.00023391847826087
2010-02-03,1.62376939347979e-05,,
2010-02-05,,,0.000342730941704035
2010-02-07,1.87139403823172e-05,,
2010-02-09,,,0.000446835748792271
2010-02-11,1.60921806186109e-05,,
2010-02-13,,,0.00025873275862069
2010-02-15,2.32460914215077e-05,,
2010-02-17,,,0.000234020920502092
